Голдуха/Золотая медаль;Голод;Музыкальный инструмент;Трава
Нуб/Новичок;Гном;Вид дерева;Музыкальный инструмент
Имба/Мощное оружие;Баскетбольная команда;Редкий фрукт;Настройка
Ору(Ору в голосину)/Очень смешно;Помоги, я умираю;Грустно;Взбешен
Очешуенно/Круто, прекрасно;Не нравится;Слишком ярко;Вкусно пахнет
Панч/Колкая фраза;Доказательство;Лотерея;Матч в игре
Пруф/Доказательство;Мультяшный персонаж;Поломка;Жанр музыки
Рофл(Рофлить)/Смеяться;Унижать;Играть;Доказывать
Раффл/Лотерея, конкурс;Колкая фраза;Парень;Удивление
Рил ток/Уверение прадивости;Играть в игры;Милое создание;Доказательство
Рейв/Вечеринка;Крутой склон;Мощный удар;Разборка
САсный/Привлекательный;Похож на котлету;Липкий(хитрый);Современный
Сорян/Извини;Трава;Неловкая ситуация;Старший брат
Сигна/Фото с надписью;Соус;Сигарета;Вечеринка
Сканк/Сорт марихуаны;Сигарета;Утверждение;Рабочее место
Стафф/Произведение рэпера;Стиль;Алкоголь;Оружие
Сяб(Сябки)/Спасибо;Мило;Девушка;Птица
Скилл/Навык, умение;Оружие;Монета;Вещь
Топчик, Топ/Самое лучшее;Список;Одежда;Толстяк
Тупа, Тупик/Тупой;Что-то вкусное;Лайк;Город
Муд/Настроение;Одежда;Центр карты;Душа
Тащер/Лучший игрок;Некрасивый человек;Лгун;Социальная сеть
Тян, Тянка/Девушка;Ловушка;Кошка;Программа для телефона
Биф/Вражда рэперов;Пирожное;Алкогольный напиток;Деньги
Тролль, Троллинг/Издёвка;Персонаж;Судья;Учитель, обучение
ФОрсить/Настойчиво советовать;Кричать;Охотиться;Проигрывать
ЧЕкать/Проверять;Смеяться;Шутить;Выписывать чек
Читер/Обманщик;Ненавистник;Убитый;Программист
Флэшбек/Повторяется снова;Быстрое действие;Воскрешение;Возвращение
Флексить/Выпендриваться;Спать;Красиво одеваться;Фотографироваться
Фолловить/Следовать, следить;Лгать;Прогуливаться;Критиковать
Фрик/Неординарный;Ведущий;Крик;Подавление
Фуди/Гурман;Одежда;Замена;Боец
ЧИлить/Отдыхать;Списывать;Принимать наркотики;Общаться
Шмот/Вещь, вещи;Обыск;Толстяк;Шумиха
ШнЯжка/Приятная вещь;Сигарета;Ситуация;Картинка с котиком
Хайп/Модное, актуальное;Приветствие;Шутка;Решение
Хейтить/Выражать ненависть;Участвовать;Навязывать;Выпендриваться
Хикка (Хиккан)/Замкнутый человек;Грузинский пельмень;Маленький котик;Подписчик
Хасла/Крутость;Настойчивость;Вкусно;Отдых
Фейк/Подделка;День рождения;Любимый человек;Деньги
Кэш/Деньги;Кнопка;Игра;Шутка
Крэм/Зубрёшка;Играть;Заниматься спортом;Материться
Худи/Толстовка с капюшоном;Худой парень;Толстовка без капюшона;Футболка
Лонгслив/Футболка;Череда неудач;Производство;Ошибка
Свитшот/Толстовка без капюшона;Толстовка с капюшоном;Футболка;Удар в голову
Шарить/Понимать;Искать;Вести счёт;Печатать текст
Шеймить/Осуждать;Искать;Повышать;Материть
Эдлибы/Возгласы;Доказательства;Награды;Разговоры
Эпик/Очень крутое;Смех;Важность;Досуг
Мидить/Умничать;Петь песни;Танцевать;Играть на миду
Фидбэк/Отзыв;Оглядываться;Возвращать долг;Разговор
Чиликать/Болтать;Приятель;Чинить;Стиль
СЭдить/Грустить;Сцеживать;Сидеть;Общаться
Кюлоты/Укороченные штаны;Бонусы;Друзья;Любимые игры
Факап/Провал;Факел;Отдых;Приятель
Митбол/Тефтелька;Игральный мяч;Отдых;Снежок
Мэйт/Приятель;Мент;Игрок в команде;Перерыв
Имхо/Личное мнение;Внимание;Умничать;Выпендриваться
Фиксить/Чинить;Приставать;Думать;Общаться
Го/Давай, пойдем;Говори;Главная орена;Чинить
Забив/Организованная драка;Петь песни;Подделка;Досуг
Ауф/Выражение одобрения, восхищения;Смех;Удар в голову;Автомобильный универсальный фаркоп
Мув/Действие, движение;Личное мнение;Зубрёшка;Пирожное
Токсик/Вредный, "токсичный" человек;Приятель;Гурман;Вечеринка
Туториал/Обучающий ролик;Выражение одобрения;Личное мнение;Игральный мяч
Чек/Проверить;Бонусы;Подделка;Игральный мяч
Вайб/Чувство атмосферы вокруг чего-либо;Личное мнение;"токсичный" человек;Приятель
